assemblyID,Species,clade,subfamily,tribe
AN20T036,Andropogon ivohibensis,PACMAD,Panicoideae,Andropogoneae
MCRTL065,Andropogon ivorensis,PACMAD,Panicoideae,Andropogoneae
AT20TN1MCRTL046,Andropogon kelleri,PACMAD,Panicoideae,Andropogoneae
AN21TS52,Andropogon lateralis,PACMAD,Panicoideae,Andropogoneae
MCRTL051,Andropogon leprodes,PACMAD,Panicoideae,Andropogoneae
AN21TSTL0056,Andropogon leucostachyus,PACMAD,Panicoideae,Andropogoneae
AN21TNTL0112,Andropogon lima,PACMAD,Panicoideae,Andropogoneae
MCRTL047,Andropogon lividus,PACMAD,Panicoideae,Andropogoneae
MCRTL068,Andropogon longiberbis,PACMAD,Panicoideae,Andropogoneae
AN21TS53,Andropogon macrothrix,PACMAD,Panicoideae,Andropogoneae
AN22TNTL117,Andropogon mannii,PACMAD,Panicoideae,Andropogoneae
AN22TNTL116,Andropogon mohrii,PACMAD,Panicoideae,Andropogoneae
AN21TSTL0187,Andropogon munroi,PACMAD,Panicoideae,Andropogoneae
AN21TSTL0036,Andropogon perligulatus,PACMAD,Panicoideae,Andropogoneae
AN21TNTL0075,Andropogon pringlei,PACMAD,Panicoideae,Andropogoneae
AN21TS02,Andropogon pseudapricus,PACMAD,Panicoideae,Andropogoneae
MCRTL058,Andropogon pumilus,PACMAD,Panicoideae,Andropogoneae
AN21TS50,Andropogon schirensis,PACMAD,Panicoideae,Andropogoneae
AN21TS57,Andropogon selloanus,PACMAD,Panicoideae,Andropogoneae
AN20T004,Andropogon sp.,PACMAD,Panicoideae,Andropogoneae
AN21TSTL0218,Andropogon sp.,PACMAD,Panicoideae,Andropogoneae
AN21TSTL0186,Andropogon tectorum,PACMAD,Panicoideae,Andropogoneae
AN21TS17,Andropogon ternarius,PACMAD,Panicoideae,Andropogoneae
AN21TS54,Andropogon ternatus,PACMAD,Panicoideae,Andropogoneae
MCRTL044,Andropogon textilis,PACMAD,Panicoideae,Andropogoneae
AN20T035,Andropogon trichozygus,PACMAD,Panicoideae,Andropogoneae
AN21TS55,Andropogon virgatus,PACMAD,Panicoideae,Andropogoneae
MCRTL032,Andropterum stolzii,PACMAD,Panicoideae,Andropogoneae
AN21TS31,Apluda mutica,PACMAD,Panicoideae,Andropogoneae
AN20T174,Arthraxon antsirabensis,PACMAD,Panicoideae,Andropogoneae
AN22TNTL028,Arthraxon cuspidatus,PACMAD,Panicoideae,Andropogoneae
AN21TSTL0188,Arthraxon hispidus,PACMAD,Panicoideae,Andropogoneae
AN21TS30,Arthraxon junnarensis,PACMAD,Panicoideae,Andropogoneae
AN21TNTL0107,Arthraxon lanceolatus,PACMAD,Panicoideae,Andropogoneae
AN21TNTL0106,Arthraxon lancifolius,PACMAD,Panicoideae,Andropogoneae
AN21TNTL0108,Arthraxon meeboldii,PACMAD,Panicoideae,Andropogoneae
AN21TNTL0109,Arthraxon microphyllus,PACMAD,Panicoideae,Andropogoneae
AN21TSTL0232,Arthraxon microphyllus,PACMAD,Panicoideae,Andropogoneae
AN21TSTL0241,Arthraxon prionodes,PACMAD,Panicoideae,Andropogoneae
AN22TNTL170,Arthraxon prionodes,PACMAD,Panicoideae,Andropogoneae
Avena_agadiriana,Avena agadiriana,BOP,Pooideae,Poeae
Avena_atlantica_CC7277_v1_assembly,Avena atlantica,BOP,Pooideae,Poeae
SRR15096507,Avena barbata,BOP,Pooideae,Poeae
SRR6056491,Avena brevis,BOP,Pooideae,Poeae
SRR23019076,Avena byzantina,BOP,Pooideae,Poeae
Avena_canariensis,Avena canariensis,BOP,Pooideae,Poeae
Avena_clauda,Avena clauda,BOP,Pooideae,Poeae
Avena_damascena,Avena damascena,BOP,Pooideae,Poeae
Avena_eriantha_BYU132_v1_assembly,Avena eriantha,BOP,Pooideae,Poeae
SRR23019254,Avena fatua,BOP,Pooideae,Poeae
Avena_hirtula,Avena hirtula,BOP,Pooideae,Poeae
ASM2361440v1,Avena insularis,BOP,Pooideae,Poeae
Avena_insularis_BYU209_v1_assembly,Avena insularis,BOP,Pooideae,Poeae
ASM3006302v1,Avena longiglumis,BOP,Pooideae,Poeae
Avena_longiglumis_CN58138_v1_assembly,Avena longiglumis,BOP,Pooideae,Poeae
Avena_lusitanica,Avena lusitanica,BOP,Pooideae,Poeae
SRR14867315,Avena maroccana,BOP,Pooideae,Poeae
SRR14924115,Avena murphyi,BOP,Pooideae,Poeae
SRR23019086,Avena nuda,BOP,Pooideae,Poeae
SRR23019235,Avena occidentalis,BOP,Pooideae,Poeae
Oat_OT3098_v2,Avena sativa,BOP,Pooideae,Poeae
ASM2364667v1,Avena sativa,BOP,Pooideae,Poeae
